Point,Lat,Lon,Weight
152045,21.371025,-157.794342,0.0014
152046,21.388184,-157.793838,0.0043
152047,21.405334,-157.793335,0.0042
152048,21.422508,-157.792816,0.0024
152049,21.439667,-157.792313,0.0001
152558,21.267662,-157.778992,0.0011
152559,21.284805,-157.778473,0.0018
152560,21.301956,-157.777969,0.0005
152561,21.319099,-157.777466,0.0004
152563,21.353394,-157.776443,0.0007
152564,21.370552,-157.775925,0.0025
152565,21.387711,-157.775406,0.001
152566,21.404861,-157.774902,0.0019
152567,21.422028,-157.774383,0.0002
152568,21.439186,-157.77388,0.001
152569,21.45636,-157.773361,0.0013
153078,21.267181,-157.76059,0.0002
153079,21.284317,-157.760086,0.001
153080,21.30146,-157.759567,0.0001
153082,21.33577,-157.75853,0.0001
153083,21.352921,-157.758026,0.0018
153084,21.370079,-157.757507,0.0029
153085,21.387222,-157.756989,0.0023
153086,21.404381,-157.75647,0.0021
153087,21.421539,-157.755951,0.003
153088,21.438698,-157.755432,0.0041
153089,21.455864,-157.754913,0.0025
153599,21.283844,-157.741684,0.001
153600,21.300995,-157.741165,0.0001
153602,21.335289,-157.740128,0.0023
153603,21.352432,-157.739609,0.002
153604,21.369583,-157.73909,0.0033
153605,21.386742,-157.738556,0.0043
153606,21.4039,-157.738037,0.0028
153607,21.421059,-157.737518,0.0011
153608,21.438217,-157.736999,0.002
153609,21.455383,-157.736481,0.0015
154119,21.283356,-157.723282,0.0009
154120,21.300507,-157.722763,0.0009
154121,21.31765,-157.722229,0.0002
154122,21.334793,-157.72171,0.0022
154123,21.351944,-157.721191,0.0034
154124,21.36911,-157.720657,0.0039
154125,21.386261,-157.720138,0.0026
154126,21.403419,-157.71962,0.0003
154129,21.454887,-157.718033,0.0003
154638,21.265732,-157.705414,0.0008
154639,21.282875,-157.70488,0.0028
154640,21.300018,-157.704361,0.0009
154641,21.317162,-157.703827,0.0003
154642,21.334312,-157.703308,0.0032
154643,21.351456,-157.702774,0.0012
154644,21.368614,-157.70224,0.0006
154645,21.385765,-157.701721,0.0004
155159,21.265236,-157.687012,0.0005
155160,21.282379,-157.686493,0.0011
155161,21.299515,-157.685959,0.0022
155162,21.316673,-157.685425,0.0004
155163,21.333817,-157.684891,0.0003
155680,21.281883,-157.668091,0.0004
155681,21.299026,-157.667557,0.0029
155682,21.31617,-157.667023,0.0002
156201,21.298531,-157.649155,0.0007
156202,21.315666,-157.648605,0.0002
